symbol,quoteAsset,numberOfTrades,min,max,priceSpread
BTCUSDT,USDT,843555959,12765.0,13238.81,473.8099999999995
ETHUSDT,USDT,579106724,1006.33,1011.07,4.740000000000009
BNBUSDT,USDT,439561564,107.2811,116.24,8.9589
BCCUSDT,USDT,11487819,1001.0,1000.0,-1.0
NEOUSDT,USDT,48475537,100.186,101.375,1.188999999999993
LTCUSDT,USDT,175485412,100.2,102.6,2.3999999999999915
QTUMUSDT,USDT,44619588,1.75,1.871,0.121
ADAUSDT,USDT,320093724,0.08793,0.09417,0.006240000000000009
XRPUSDT,USDT,352417771,0.17351,0.22949,0.05598
EOSUSDT,USDT,134168800,1.86,1.994,0.1339999999999999
TUSDUSDT,USDT,6468201,0.4654,0.9986,0.5332000000000001
IOTAUSDT,USDT,50038680,0.2255,0.2471,0.02159999999999998
XLMUSDT,USDT,97580900,0.07258,0.0757,0.0031199999999999978
ONTUSDT,USDT,57608609,0.3414,0.425,0.08360000000000001
TRXUSDT,USDT,136395452,0.02304,0.02444,0.0013999999999999985
ETCUSDT,USDT,104763209,10.0157,10.0,-0.015700000000000713
ICXUSDT,USDT,26861128,0.2943,0.3158,0.02150000000000002
VENUSDT,USDT,354244,0.0001,0.0001,0.0
NULSUSDT,USDT,14728411,0.1882,0.2007,0.012499999999999983
VETUSDT,USDT,137370515,0.008894,0.009671,0.0007769999999999999
PAXUSDT,USDT,3396767,0.9388,0.9986,0.059800000000000075
BCHABCUSDT,USDT,21123338,100.89,102.19,1.2999999999999972
BCHSVUSDT,USDT,5819591,101.0,100.58,-0.4200000000000017
USDCUSDT,USDT,23508979,0.2,0.9986,0.7986
LINKUSDT,USDT,160634597,10.0764,10.675,0.5986000000000011
WAVESUSDT,USDT,39363225,10.0053,10.003,-0.0022999999999999687
BTTUSDT,USDT,99169699,0.0002692,0.0002858,1.6600000000000024e-05
USDSUSDT,USDT,243847,0.9002,0.9866,0.08640000000000003
ONGUSDT,USDT,13153507,0.0981,0.1063,0.008199999999999999
HOTUSDT,USDT,83977928,0.0004251,0.0004445,1.9400000000000038e-05
ZILUSDT,USDT,44016043,0.0166,0.01747,0.0008699999999999992
ZRXUSDT,USDT,20068814,0.3057,0.3257,0.019999999999999962
FETUSDT,USDT,27254571,0.03678,0.03985,0.0030699999999999963
BATUSDT,USDT,47226964,0.1752,0.1847,0.009500000000000008
XMRUSDT,USDT,37827729,108.07,115.0,6.930000000000007
ZECUSDT,USDT,59878639,100.0,100.3,0.29999999999999716
IOSTUSDT,USDT,46980626,0.0038,0.004525,0.0007250000000000004
CELRUSDT,USDT,42027003,0.00324,0.00356,0.00031999999999999997
DASHUSDT,USDT,46298586,100.0,100.3,0.29999999999999716
NANOUSDT,USDT,22171348,0.664,0.7253,0.06129999999999991
OMGUSDT,USDT,96994100,1.9912,10.044,8.052800000000001
THETAUSDT,USDT,123852802,0.5531,0.59853,0.04542999999999997
ENJUSDT,USDT,69248525,0.11118,0.11993,0.008749999999999994
MITHUSDT,USDT,28377761,0.00388,0.00413,0.0002499999999999998
MATICUSDT,USDT,233811298,0.01169,0.01275,0.0010599999999999984
ATOMUSDT,USDT,117689975,10.178,10.087,-0.09100000000000108
TFUELUSDT,USDT,35431955,0.0082,0.008714,0.0005139999999999988
ONEUSDT,USDT,74889958,0.00389,0.00429,0.0004000000000000006
FTMUSDT,USDT,135950899,0.01264,0.01515,0.00251
ALGOUSDT,USDT,89291852,0.2224,0.2445,0.02210000000000001
USDSBUSDT,USDT,11506,0.9621,0.9971,0.03500000000000003
GTOUSDT,USDT,21995557,0.00493,0.00541,0.0004799999999999995
ERDUSDT,USDT,6454926,0.0005,0.0007574,0.00025739999999999997
DOGEUSDT,USDT,399491736,0.0024519,0.002531,7.909999999999992e-05
DUSKUSDT,USDT,20847623,0.0367,0.0401,0.0033999999999999933
ANKRUSDT,USDT,39062902,0.006257,0.007055,0.0007979999999999992
WINUSDT,USDT,82369506,5.6e-05,6.136e-05,5.359999999999996e-06
COSUSDT,USDT,27269386,0.00508,0.0057,0.0006199999999999999
NPXSUSDT,USDT,13169777,7.01e-05,0.0001063,3.62e-05
COCOSUSDT,USDT,31081405,0.000228,0.000247,1.8999999999999974e-05
MTLUSDT,USDT,19141014,0.268,0.2812,0.01319999999999999
TOMOUSDT,USDT,18494215,0.466,0.5053,0.039299999999999946
PERLUSDT,USDT,13451659,0.01485,0.01643,0.0015799999999999998
DENTUSDT,USDT,62314314,0.000158,0.0001739,1.5900000000000007e-05
