symbol,bidPrice,bidQty,askPrice,askQty
ETHBTC,0.06659600,1.90360000,0.06659700,9.57470000
LTCBTC,0.00261900,4.70800000,0.00262100,38.89300000
BNBBTC,0.00989100,54.28500000,0.00989200,33.83400000
NEOBTC,0.00053400,127.33000000,0.00053500,319.30000000
QTUMETH,0.00227900,4.00000000,0.00228200,277.10000000
EOSETH,0.00076600,602.70000000,0.00076700,3300.70000000
SNTETH,0.00002595,2189.00000000,0.00002610,4230.00000000
BNTETH,0.00083900,15.30000000,0.00084100,296.40000000
BCCBTC,0.00000000,0.00000000,0.00000000,0.00000000
GASBTC,0.00011580,34.70000000,0.00011600,19.50000000
BNBETH,0.14850000,21.30200000,0.14860000,39.99400000
BTCUSDT,39303.89000000,2.64297000,39303.90000000,0.00091000
ETHUSDT,2617.51000000,38.15320000,2617.52000000,1.29070000
HSRBTC,0.00000000,0.00000000,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000,0.00000000,0.00000000
WTCBTC,0.00001076,51.00000000,0.00001080,496.00000000
WTCETH,0.00000000,0.00000000,0.00000000,0.00000000
LRCBTC,0.00001904,200.00000000,0.00001906,1549.00000000
LRCETH,0.00028581,400.00000000,0.00028661,54.00000000
QTUMBTC,0.00015180,110.00000000,0.00015200,105.20000000
YOYOBTC,0.00000000,0.00000000,0.00000000,0.00000000
OMGBTC,0.00009870,106.40000000,0.00009880,635.60000000
OMGETH,0.00148100,246.90000000,0.00148400,878.10000000
ZRXBTC,0.00001275,1042.00000000,0.00001277,2760.00000000
ZRXETH,0.00019120,7507.00000000,0.00019160,84.00000000
STRATBTC,0.00000000,0.00000000,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSBTC,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSETH,0.00000000,0.00000000,0.00000000,0.00000000
BQXBTC,0.00000000,0.00000000,0.00000000,0.00000000
BQXETH,0.00000000,0.00000000,0.00000000,0.00000000
KNCBTC,0.00007337,42.00000000,0.00007342,1416.70000000
KNCETH,0.00109830,141.60000000,0.00110410,14.70000000
FUNBTC,0.00000000,0.00000000,0.00000000,0.00000000
FUNETH,0.00000424,52382.00000000,0.00000426,66456.00000000
SNMBTC,0.00000318,4386.00000000,0.00000320,453.00000000
SNMETH,0.00000000,0.00000000,0.00000000,0.00000000
NEOETH,0.00802000,53.72000000,0.00803000,160.61000000
IOTABTC,0.00001824,30.00000000,0.00001825,3930.00000000
IOTAETH,0.00027360,1395.00000000,0.00027410,48.00000000
LINKBTC,0.00033910,347.92000000,0.00033930,295.54000000
LINKETH,0.00508900,1.96000000,0.00509500,74.14000000
XVGBTC,0.00000025,17634414.00000000,0.00000026,10303656.00000000
XVGETH,0.00000382,82599.00000000,0.00000384,176155.00000000
SALTBTC,0.00000000,0.00000000,0.00000000,0.00000000
SALTETH,0.00000000,0.00000000,0.00000000,0.00000000
MDABTC,0.00001067,505.00000000,0.00001068,110.00000000
MDAETH,0.00000000,0.00000000,0.00000000,0.00000000
MTLBTC,0.00003887,177.10000000,0.00003890,561.90000000
MTLETH,0.00058340,32.00000000,0.00058380,0.10000000
SUBBTC,0.00000000,0.00000000,0.00000000,0.00000000
SUBETH,0.00000000,0.00000000,0.00000000,0.00000000
EOSBTC,0.00005100,20375.40000000,0.00005110,11104.10000000
SNTBTC,0.00000174,10202.00000000,0.00000175,70357.00000000
ETCETH,0.01033000,36.10000000,0.01035000,116.92000000
ETCBTC,0.00068800,66.53000000,0.00068900,270.74000000
MTHBTC,0.00000000,0.00000000,0.00000000,0.00000000
MTHETH,0.00000000,0.00000000,0.00000000,0.00000000
ENGBTC,0.00000000,0.00000000,0.00000000,0.00000000
ENGETH,0.00000000,0.00000000,0.00000000,0.00000000
DNTBTC,0.00000176,5525.00000000,0.00000177,31618.00000000
ZECBTC,0.00350900,10.88100000,0.00351200,0.50000000
ZECETH,0.05269000,0.16000000,0.05278000,3.62700000
BNTBTC,0.00005591,3.20000000,0.00005600,11.90000000
ASTBTC,0.00000337,2108.00000000,0.00000338,1317.00000000
ASTETH,0.00000000,0.00000000,0.00000000,0.00000000
DASHBTC,0.00254800,1.70000000,0.00254900,0.04200000
DASHETH,0.03826000,4.99200000,0.03838000,8.45100000
OAXBTC,0.00000238,8559.00000000,0.00000240,2228.00000000
ICNBTC,0.00000000,0.00000000,0.00000000,0.00000000
BTGBTC,0.00073600,30.58000000,0.00073700,0.95000000
BTGETH,0.00000000,0.00000000,0.00000000,0.00000000
EVXBTC,0.00000000,0.00000000,0.00000000,0.00000000
EVXETH,0.00000000,0.00000000,0.00000000,0.00000000
REQBTC,0.00000504,599.00000000,0.00000505,3917.00000000
REQETH,0.00000000,0.00000000,0.00000000,0.00000000
VIBBTC,0.00000062,1001202.00000000,0.00000063,289568.00000000
VIBETH,0.00000937,7403.00000000,0.00000944,6355.00000000
HSRETH,0.00000000,0.00000000,0.00000000,0.00000000
TRXBTC,0.00000156,4972416.00000000,0.00000157,1104846.00000000
TRXETH,0.00002351,10874.00000000,0.00002353,35478.00000000
POWRBTC,0.00001349,28.00000000,0.00001352,2273.00000000
POWRETH,0.00020190,15415.00000000,0.00020290,2711.00000000
ARKBTC,0.00002253,15.00000000,0.00002259,564.20000000
ARKETH,0.00000000,0.00000000,0.00000000,0.00000000
YOYOETH,0.00000000,0.00000000,0.00000000,0.00000000
XRPBTC,0.00001854,5404.00000000,0.00001855,53976.00000000
XRPETH,0.00027820,14323.00000000,0.00027840,67.00000000
MODBTC,0.00000000,0.00000000,0.00000000,0.00000000
MODETH,0.00000000,0.00000000,0.00000000,0.00000000
ENJBTC,0.00003459,234.20000000,0.00003461,109.90000000
ENJETH,0.00051910,415.00000000,0.00051980,33.10000000
STORJBTC,0.00002399,504.00000000,0.00002403,642.00000000
STORJETH,0.00000000,0.00000000,0.00000000,0.00000000
BNBUSDT,388.60000000,247.21700000,388.70000000,75.58400000
VENBNB,0.00000000,0.00000000,0.00000000,0.00000000
YOYOBNB,0.00000000,0.00000000,0.00000000,0.00000000
POWRBNB,0.00000000,0.00000000,0.00000000,0.00000000
VENBTC,0.00000000,0.00000000,0.00000000,0.00000000
VENETH,0.00000000,0.00000000,0.00000000,0.00000000
KMDBTC,0.00001213,608.00000000,0.00001217,1526.00000000
KMDETH,0.00000000,0.00000000,0.00000000,0.00000000
NULSBNB,0.00000000,0.00000000,0.00000000,0.00000000
RCNBTC,0.00000000,0.00000000,0.00000000,0.00000000
RCNETH,0.00000000,0.00000000,0.00000000,0.00000000
RCNBNB,0.00000000,0.00000000,0.00000000,0.00000000
NULSBTC,0.00000955,102.00000000,0.00000957,95.00000000
NULSETH,0.00000000,0.00000000,0.00000000,0.00000000
RDNBTC,0.00000000,0.00000000,0.00000000,0.00000000
RDNETH,0.00000000,0.00000000,0.00000000,0.00000000
RDNBNB,0.00000000,0.00000000,0.00000000,0.00000000
XMRBTC,0.00509600,0.04900000,0.00510000,9.84400000
XMRETH,0.07652000,2.49400000,0.07657000,0.12700000
DLTBNB,0.00000000,0.00000000,0.00000000,0.00000000
WTCBNB,0.00000000,0.00000000,0.00000000,0.00000000
DLTBTC,0.00000000,0.00000000,0.00000000,0.00000000
DLTETH,0.00000000,0.00000000,0.00000000,0.00000000
AMBBTC,0.00000041,454719.00000000,0.00000042,1756763.00000000
AMBETH,0.00000000,0.00000000,0.00000000,0.00000000
AMBBNB,0.00000000,0.00000000,0.00000000,0.00000000
BCCETH,0.00000000,0.00000000,0.00000000,0.00000000
BCCUSDT,0.00000000,0.00000000,0.00000000,0.00000000
BCCBNB,0.00000000,0.00000000,0.00000000,0.00000000
BATBTC,0.00001699,7892.00000000,0.00001700,3.00000000
BATETH,0.00025490,610.00000000,0.00025540,748.00000000
BATBNB,0.00000000,0.00000000,0.00000000,0.00000000
BCPTBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCPTETH,0.00000000,0.00000000,0.00000000,0.00000000
BCPTBNB,0.00000000,0.00000000,0.00000000,0.00000000
ARNBTC,0.00000000,0.00000000,0.00000000,0.00000000
ARNETH,0.00000000,0.00000000,0.00000000,0.00000000
GVTBTC,0.00000000,0.00000000,0.00000000,0.00000000
GVTETH,0.00000000,0.00000000,0.00000000,0.00000000
CDTBTC,0.00000000,0.00000000,0.00000000,0.00000000
CDTETH,0.00000000,0.00000000,0.00000000,0.00000000
GXSBTC,0.00004292,4.00000000,0.00004298,240.00000000
GXSETH,0.00064400,241.00000000,0.00064530,16.00000000
NEOUSDT,20.98000000,109.93000000,20.99000000,64.82000000
NEOBNB,0.05390000,166.74000000,0.05400000,46.74000000
POEBTC,0.00000000,0.00000000,0.00000000,0.00000000
POEETH,0.00000000,0.00000000,0.00000000,0.00000000
QSPBTC,0.00000120,83364.00000000,0.00000121,192838.00000000
QSPETH,0.00000000,0.00000000,0.00000000,0.00000000
QSPBNB,0.00000000,0.00000000,0.00000000,0.00000000
BTSBTC,0.00000051,3557000.00000000,0.00000052,587203.00000000
BTSETH,0.00000000,0.00000000,0.00000000,0.00000000
BTSBNB,0.00000000,0.00000000,0.00000000,0.00000000
XZCBTC,0.00000000,0.00000000,0.00000000,0.00000000
XZCETH,0.00000000,0.00000000,0.00000000,0.00000000
XZCBNB,0.00000000,0.00000000,0.00000000,0.00000000
LSKBTC,0.00004834,12.50000000,0.00004847,157.70000000
LSKETH,0.00072600,511.50000000,0.00072800,105.10000000
LSKBNB,0.00000000,0.00000000,0.00000000,0.00000000
TNTBTC,0.00000000,0.00000000,0.00000000,0.00000000
TNTETH,0.00000000,0.00000000,0.00000000,0.00000000
FUELBTC,0.00000000,0.00000000,0.00000000,0.00000000
FUELETH,0.00000000,0.00000000,0.00000000,0.00000000
MANABTC,0.00006172,192.00000000,0.00006174,315.00000000
MANAETH,0.00092640,583.00000000,0.00092750,741.00000000
BCDBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCDETH,0.00000000,0.00000000,0.00000000,0.00000000
DGDBTC,0.00000000,0.00000000,0.00000000,0.00000000
DGDETH,0.00000000,0.00000000,0.00000000,0.00000000
IOTABNB,0.00184200,3403.00000000,0.00184500,697.00000000
ADXBTC,0.00001003,985.00000000,0.00001004,570.00000000
ADXETH,0.00015060,1032.00000000,0.00015070,2831.00000000
ADXBNB,0.00000000,0.00000000,0.00000000,0.00000000
ADABTC,0.00002064,32155.50000000,0.00002065,65.50000000
ADAETH,0.00030990,15695.90000000,0.00031020,9972.20000000
PPTBTC,0.00000000,0.00000000,0.00000000,0.00000000
PPTETH,0.00000000,0.00000000,0.00000000,0.00000000
CMTBTC,0.00000000,0.00000000,0.00000000,0.00000000
CMTETH,0.00000000,0.00000000,0.00000000,0.00000000
CMTBNB,0.00000000,0.00000000,0.00000000,0.00000000
XLMBTC,0.00000445,117442.00000000,0.00000446,125162.00000000
XLMETH,0.00006680,44463.00000000,0.00006690,18224.00000000
XLMBNB,0.00044990,4300.00000000,0.00045040,2857.00000000
CNDBTC,0.00000000,0.00000000,0.00000000,0.00000000
CNDETH,0.00000000,0.00000000,0.00000000,0.00000000
CNDBNB,0.00000000,0.00000000,0.00000000,0.00000000
LENDBTC,0.00000000,0.00000000,0.00000000,0.00000000
LENDETH,0.00000000,0.00000000,0.00000000,0.00000000
WABIBTC,0.00000252,52.00000000,0.00000253,10151.00000000
WABIETH,0.00000000,0.00000000,0.00000000,0.00000000
WABIBNB,0.00025390,4136.00000000,0.00025450,2657.00000000
LTCETH,0.03932000,9.71300000,0.03936000,0.13500000
LTCUSDT,102.90000000,685.46000000,103.00000000,847.68400000
LTCBNB,0.26460000,10.79100000,0.26500000,0.44900000
TNBBTC,0.00000000,0.00000000,0.00000000,0.00000000
TNBETH,0.00000000,0.00000000,0.00000000,0.00000000
WAVESBTC,0.00055670,45.69000000,0.00055700,9.35000000
WAVESETH,0.00835500,174.90000000,0.00837200,106.85000000
WAVESBNB,0.05625000,45.69000000,0.05631000,24.04000000
GTOBTC,0.00000073,891199.00000000,0.00000074,293145.00000000
GTOETH,0.00000000,0.00000000,0.00000000,0.00000000
GTOBNB,0.00000000,0.00000000,0.00000000,0.00000000
ICXBTC,0.00001635,63.00000000,0.00001637,7.00000000
ICXETH,0.00024500,1337.00000000,0.00024570,73.00000000
ICXBNB,0.00000000,0.00000000,0.00000000,0.00000000
OSTBTC,0.00000000,0.00000000,0.00000000,0.00000000
OSTETH,0.00000000,0.00000000,0.00000000,0.00000000
OSTBNB,0.00000000,0.00000000,0.00000000,0.00000000
ELFBTC,0.00000836,3765.00000000,0.00000839,4834.00000000
ELFETH,0.00012580,695.00000000,0.00012600,3623.00000000
AIONBTC,0.00000212,46991.00000000,0.00000213,5145.00000000
AIONETH,0.00003181,2703.00000000,0.00003190,539.00000000
AIONBNB,0.00000000,0.00000000,0.00000000,0.00000000
NEBLBTC,0.00001006,496.70000000,0.00001010,3366.20000000
NEBLBNB,0.00000000,0.00000000,0.00000000,0.00000000
BRDBTC,0.00000709,1327.00000000,0.00000711,3997.00000000
BRDETH,0.00010529,1880.00000000,0.00010672,480.00000000
BRDBNB,0.00000000,0.00000000,0.00000000,0.00000000
MCOBNB,0.00000000,0.00000000,0.00000000,0.00000000
EDOBTC,0.00000000,0.00000000,0.00000000,0.00000000
EDOETH,0.00000000,0.00000000,0.00000000,0.00000000
WINGSBTC,0.00000000,0.00000000,0.00000000,0.00000000
WINGSETH,0.00000000,0.00000000,0.00000000,0.00000000
NAVBTC,0.00000317,14351.00000000,0.00000320,12996.00000000
NAVETH,0.00000000,0.00000000,0.00000000,0.00000000
NAVBNB,0.00000000,0.00000000,0.00000000,0.00000000
LUNBTC,0.00000000,0.00000000,0.00000000,0.00000000
LUNETH,0.00000000,0.00000000,0.00000000,0.00000000
TRIGBTC,0.00000000,0.00000000,0.00000000,0.00000000
TRIGETH,0.00000000,0.00000000,0.00000000,0.00000000
