symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.001907,-2.827,0.06644249,0.067458,0.065552,0.2815,0.06555,2.7192,0.065551,4.9262,0.067459,0.06752,0.065283,88693.4819,5893.01611921,1646607010995,1646693410995,328692042,328882325,190284
LTCBTC,-7.6e-05,-2.861,0.00261874,0.002657,0.00258,8.091,0.00258,88.488,0.002582,25.931,0.002656,0.002668,0.002571,64124.426,167.92515949,1646607010299,1646693410299,77571965,77594805,22841
BNBBTC,0.000224,2.293,0.0098555,0.009766,0.009993,1.64,0.009993,15.107,0.009994,17.424,0.009769,0.010174,0.009649,136654.679,1346.79978927,1646607013020,1646693413020,180791733,180881616,89884
NEOBTC,-8e-06,-1.49,0.00052907,0.000537,0.000529,4.77,0.000529,414.13,0.00053,48.56,0.000537,0.000539,0.00052,24179.21,12.79244576,1646607010264,1646693410264,43023634,43027811,4178
QTUMETH,3.9e-05,1.74,0.0022573,0.002242,0.00228,8.5,0.002277,539.7,0.002281,6.0,0.002241,0.002294,0.002229,19835.0,44.7736332,1646607008158,1646693408158,5205595,5206240,646
EOSETH,3e-06,0.392,0.00076989,0.000766,0.000769,81.6,0.000768,1217.7,0.00077,3190.2,0.000766,0.000777,0.000763,222764.2,171.5030216,1646607011259,1646693411259,22969630,22970511,882
SNTETH,2.08e-06,10.048,2.236e-05,2.076e-05,2.278e-05,1010.0,2.27e-05,3952.0,2.276e-05,1191.0,2.07e-05,2.4e-05,2.049e-05,27058502.0,604.92728847,1646607013197,1646693413197,3425223,3429880,4658
BNTETH,3e-06,0.355,0.00084374,0.000842,0.000847,19.6,0.000846,255.8,0.000849,19.6,0.000844,0.000852,0.00083,36801.2,31.0505562,1646606993733,1646693393733,2014417,2015099,683
BCCBTC,0.0,0.0,0.0,0.079081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640511842501,1640598242501,-1,-1,0
GASBTC,-7e-07,-0.602,0.00011498,0.0001164,0.0001156,5.0,0.0001153,9.2,0.0001156,199.1,0.0001163,0.000117,0.0001132,60344.9,6.93827954,1646606988902,1646693388902,18055945,18058831,2887
